PDBchain   len  method   resol   rfac  freerfac
5D8VA       83  XRAY      0.48  0.072  0.078
3NIRA       46  XRAY      0.48  0.127  NA   
5NW3A       54  XRAY      0.59  0.135  0.146
1UCSA       64  XRAY      0.62  0.139  0.155
3X2MA      180  XRAY      0.64  0.122  0.129
2VB1A      129  XRAY      0.65  0.084  0.095
1US0A      316  XRAY      0.66  0.094  0.103
6E6OA       40  XRAY       0.7  0.166  0.184
6S2MA      133  XRAY      0.72  0.104  0.111
1R6JA       82  XRAY      0.73  0.075  0.087
4REKA      499  XRAY      0.74  0.113  0.123
4I8HA      223  XRAY      0.75  0.102  0.111
2WFIA      179  XRAY      0.75  0.107  0.124
2OV0A      105  XRAY      0.75  0.126  0.142
2B97A       71  XRAY      0.75   0.13  0.148
3X34A       94  XRAY      0.76  0.107  0.131
7KR0A      173  XRAY      0.77   0.11  0.117
6L27A      227  XRAY      0.77  0.119  0.124
5YCEA      154  XRAY      0.77  0.145  0.162
5KWMA      230  XRAY     0.777  0.129  0.137
1GCIA      269  XRAY      0.78  0.101  0.103
7A5MA      113  XRAY      0.78   0.12   0.14
5GV8A      272  XRAY      0.78  0.122   0.14
6ZM8A      208  XRAY      0.78  0.122  0.134
1X6ZA      123  XRAY      0.78  0.143  0.153
4UA6A      263  XRAY      0.79   0.11  0.115
5TDAA       76  XRAY      0.79   0.12  0.128
7AF2AAA    379  XRAY     0.792  0.121  0.132
3UI4A      101  XRAY       0.8  0.095  0.098
5AL6A       49  XRAY       0.8  0.107  0.116
1PQ7A      224  XRAY       0.8  0.109  NA   
5NFMA       75  XRAY       0.8  0.122  0.132
1W0NA      131  XRAY       0.8  0.129  0.144
2IXTA      310  XRAY       0.8  0.138  0.154
5HB7A      125  XRAY     0.819  0.119  0.132
2H5CA      198  XRAY      0.82  0.087  0.093
2VXNA      251  XRAY      0.82  0.092  0.103
1NWZA      125  XRAY      0.82  0.123  0.144
7AVKA       88  XRAY      0.82  0.147  0.163
2JFRA      234  XRAY      0.83  0.096  0.124
2O9SA       67  XRAY      0.83  0.105  0.121
4Y9WA      334  XRAY      0.83  0.117  0.124
2PWAA      279  XRAY      0.83   0.12  0.136
6TGUA      364  XRAY     0.833  0.144  0.167
1P9GA       41  XRAY      0.84  0.068  0.079
7BNHA       96  XRAY      0.84  0.085  0.101
2O7AA      124  XRAY      0.84   0.09  0.108
2YKZA      127  XRAY      0.84  0.106  0.116
4EICA       93  XRAY      0.84  0.106  0.127
6EIOA      237  XRAY      0.84  0.116  0.128
2HS1A       99  XRAY      0.84  0.124  0.149
4PSSA      159  XRAY     0.849  0.154  0.169
1M40A      263  XRAY      0.85  0.091  0.112
4AYOA      447  XRAY      0.85  0.095  0.105
6Q00A       76  XRAY      0.85  0.096  0.112
6Q00B       45  XRAY      0.85  0.096  0.112
3O4PA      314  XRAY      0.85  0.103  0.121
6ETLA      124  XRAY      0.85  0.103  0.122
1MC2A      122  XRAY      0.85  0.104  0.121
1X8QA      184  XRAY      0.85  0.105   0.13
7BBXA      352  XRAY      0.85  0.108  0.119
7AOTA      128  XRAY      0.85  0.123  0.138
3QPAA      197  XRAY      0.85  0.124  0.117
5EMBA      101  XRAY      0.85  0.124  0.136
2FMAA       59  XRAY      0.85  0.131   0.15
5XVTA      697  XRAY      0.85  0.133  0.139
2F01A      127  XRAY      0.85  0.155  0.174
1G6XA       58  XRAY      0.86  0.107   0.14
3WDNA      125  XRAY      0.86  0.114  0.139
1MUWA      386  XRAY      0.86  0.126  0.143
3ZSJA      138  XRAY      0.86  0.127  0.142
5AVDA      240  XRAY      0.86  0.129   0.14
6ZPAA      181  XRAY      0.86   0.13  0.135
2DDXA      333  XRAY      0.86   0.14  0.148
5AKRA      378  XRAY      0.87   0.11  0.127
1V6PA       62  XRAY      0.87  0.119  0.153
4HS1A       85  XRAY      0.87  0.129  0.144
5L87A       69  XRAY      0.87   0.13  0.145
5O99A       60  XRAY     0.871  0.112  0.117
1GWEA      503  XRAY      0.88  0.089  0.096
3ZOJA      279  XRAY      0.88  0.103  0.107
3FILA       56  XRAY      0.88  0.125  0.149
4F1VA      381  XRAY      0.88  0.126   0.14
5LP9A      162  XRAY     0.886   0.11  0.126
1I1WA      303  XRAY      0.89   0.09  0.106
4U9HL      533  XRAY      0.89  0.096  0.106
4U9HS      265  XRAY      0.89  0.096  0.106
6KFNA      307  XRAY      0.89  0.106  0.122
4O6UA      184  XRAY      0.89  0.124  0.134
5HBSA      140  XRAY      0.89  0.125  0.133
4UYRA      211  XRAY      0.89  0.127  0.134
3IP0A      158  XRAY      0.89  0.128  0.128
4WEEA      144  XRAY     0.891   0.15  0.164
4Y9VA      625  XRAY       0.9  0.097  0.109
1G66A      207  XRAY       0.9  0.107  0.132
